name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Brubaker,R,Crime,1980,"June 20, 1980",0.7162162162162161,0.007068853087440859,Stuart Rosenberg,W.D. Richter,Robert Redford,United States,0.025272684882175975,0.01303765125387516,Twentieth Century Fox,0.22442244224422445
American Gigolo,R,Crime,1980,"February 1, 1980",0.581081081081081,0.009152216803161712,Paul Schrader,Paul Schrader,Richard Gere,United States,0.013474832653084154,0.007987847150092334,Paramount Pictures,0.17821782178217824
My Bodyguard,PG,Comedy,1980,"September 26, 1980",0.7027027027027026,0.0036938038679730748,Tony Bill,Alan Ormsby,Chris Makepeace,United States,0.10031968594957656,0.007896277257744989,Twentieth Century Fox,0.12871287128712874
Prom Night,R,Horror,1980,"July 18, 1980",0.472972972972973,0.006652180344296688,Paul Lynch,William Gray,Leslie Nielsen,Canada,0.10031968594957656,0.005196575059140291,Guardian Trust Company,0.09570957095709573
Smokey and the Bandit II,PG,Action,1980,"August 15, 1980",0.45945945945945943,0.006235507601152517,Hal Needham,Hal Needham,Burt Reynolds,United States,0.10031968594957656,0.023226767009958852,Universal Pictures,0.12211221122112212
Cattle Annie and Little Britches,PG,Drama,1980,"April 24, 1981",0.5675675675675674,0.00023708679084903325,Lamont Johnson,David Eyre,Scott Glenn,United States,0.01431753638373357,0.00018772772703838693,Cattle Annie Productions,0.11221122112211221
Seems Like Old Times,PG,Comedy,1980,"December 19, 1980",0.6486486486486486,0.003777138416601909,Jay Sandrich,Neil Simon,Goldie Hawn,United States,0.10031968594957656,0.015451987864030967,Rastar Films,0.12871287128712874
Private Benjamin,R,Comedy,1980,"October 10, 1980",0.581081081081081,0.009985562289450054,Howard Zieff,Nancy Meyers,Goldie Hawn,United States,0.028081697317674025,0.024531439011709046,Warner Bros.,0.15181518151815185
The Hollywood Knights,R,Comedy,1980,"May 30, 1980",0.5945945945945945,0.0017771092495098887,Floyd Mutrux,Floyd Mutrux,Tony Danza,United States,0.011227622704685712,0.0035120573959110256,PolyGram Filmed Entertainment,0.09240924092409245
Motel Hell,R,Comedy,1980,"October 24, 1980",0.5540540540540541,0.004568816628575834,Kevin Connor,Robert Jaffe,Rory Calhoun,United States,0.00841861026918766,0.00222754171438626,Camp Hill,0.1254125412541254
The Jazz Singer,PG,Drama,1980,"December 19, 1980",0.5405405405405406,0.0016521074265666374,Richard Fleischer,Samson Raphaelson,Laurence Olivier,United States,0.10031968594957656,0.009524183020913332,EMI Films,0.1716171617161716
Coal Miner's Daughter,PG,Biography,1980,"March 7, 1980",0.7567567567567567,0.007068853087440859,Michael Apted,Thomas Rickman,Sissy Spacek,United States,0.10031968594957656,0.023595600977623185,Universal Pictures,0.20132013201320134
The Watcher in the Woods,PG,Family,1980,"October 9, 1981",0.5945945945945945,0.0023604510899117278,John Hough,Brian Clemens,Bette Davis,United States,0.10031968594957656,0.0017559744349920203,Walt Disney Productions,0.06930693069306934
Breaker Morant,PG,Drama,1980,"July 3, 1980",0.8108108108108109,0.005402162114864176,Bruce Beresford,Jonathan Hardy,Edward Woodward,Australia,0.10031968594957656,0.027743737806663903,The South Australian Film Corporation,0.14521452145214522
The Stunt Man,R,Action,1980,"June 27, 1980",0.7027027027027026,0.003735471142287492,Richard Rush,Lawrence B. Marcus,Peter O'Toole,United States,0.009823116486936687,0.002480845442567877,Melvin Simon Productions,0.22442244224422445
Where the Buffalo Roam,R,Biography,1980,"April 25, 1980",0.635135135135135,0.004568816628575834,Art Linson,Hunter S. Thompson,Peter Boyle,United States,0.10031968594957656,0.0023387751700802,Universal Pictures,0.11881188118811883
The Awakening,R,Horror,1980,"October 31, 1980",0.3918918918918919,0.0008187619402782958,Mike Newell,Allan Scott,Charlton Heston,United Kingdom,0.10031968594957656,0.0029554184335580254,EMI Films,0.1254125412541254
Cheech and Chong's Next Movie,R,Comedy,1980,"July 18, 1980",0.5675675675675674,0.004985489371720005,Tommy Chong,Tommy Chong,Cheech Marin,United States,0.10031968594957656,0.014636911089351806,Universal Pictures,0.11881188118811883
The Island,R,Action,1980,"June 13, 1980",0.45945945945945943,0.0016104401522522203,Michael Ritchie,Peter Benchley,Michael Caine,United States,0.06178984654365064,0.005519902244171961,Universal Pictures,0.15181518151815185
The Boogey Man,R,Horror,1980,"November 7, 1980",0.3648648648648648,0.0016104401522522203,Ulli Lommel,Ulli Lommel,Suzanna Love,United States,0.0008342766933429214,0.027743737806663903,The Jerry Gross Organization,0.06270627062706272
The Nude Bomb,PG,Action,1980,"May 9, 1980",0.43243243243243235,0.0012771019577368836,Clive Donner,Mel Brooks,Don Adams,United States,0.042126759495164284,0.005149441441252633,Universal Pictures,0.1023102310231023
Lion of the Desert,PG,Biography,1980,"May 16, 1981",0.8648648648648648,0.006235507601152517,Moustapha Akkad,David Butler,Anthony Quinn,Libya,0.09830700820512532,0.027743737806663903,Falcon International Productions,0.3630363036303631
Stardust Memories,PG,Comedy,1980,"September 26, 1980",0.7297297297297296,0.009152216803161712,Woody Allen,Woody Allen,Woody Allen,United States,0.028081697317674025,0.003648681703920301,Jack Rollins & Charles H. Joffe Productions,0.08580858085808582
Melvin and Howard,R,Comedy,1980,"September 19, 1980",0.6621621621621621,0.001860443798138723,Jonathan Demme,Bo Goldman,Paul Le Mat,United States,0.01965466001117987,0.0015134558659231838,Universal Pictures,0.10561056105610564
Can't Stop the Music,PG,Biography,1980,"June 20, 1980",0.31081081081081086,0.001527105603623386,Nancy Walker,Bronte Woodard,Ray Simpson,United States,0.05617182167265454,0.027743737806663903,EMI Films,0.20132013201320134
Bronco Billy,PG,Action,1980,"June 11, 1980",0.5675675675675674,0.004568816628575834,Clint Eastwood,Dennis Hackin,Clint Eastwood,United States,0.018250153793430843,0.008522393535147197,Warner Bros.,0.17491749174917495
City of Women,R,Comedy,1980,"April 8, 1981",0.6891891891891891,0.002777123833055899,Federico Fellini,Federico Fellini,Marcello Mastroianni,Italy,0.10031968594957656,4.287300940787659e-06,Opera Film Produzione,0.25082508250825086
The Private Eyes,PG,Comedy,1980,"November 21, 1980",0.6486486486486486,0.0011937674091080494,Lang Elliott,Tim Conway,Tim Conway,United States,0.10031968594957656,0.027743737806663903,Tri Star Productions,0.09240924092409245
When Time Ran Out...,PG,Action,1980,"March 28, 1980",0.3648648648648648,0.001068765586164798,James Goldstone,Gordon Thomas,Paul Newman,United States,0.05617182167265454,0.001321866512453736,International Cinema,0.19141914191419143
Oh Heavenly Dog,PG,Comedy,1980,"July 11, 1980",0.472972972972973,0.000985431037535964,Joe Camp,Rod Browning,Chevy Chase,United States,0.016845647575681817,0.002183077342599199,Mulberry Square Productions,0.13201320132013203
The Octagon,R,Action,1980,"August 15, 1980",0.43243243243243235,0.0021521147183396422,Eric Karson,Leigh Chapman,Chuck Norris,United States,0.011227622704685712,0.0066628214443919045,American Cinema Productions,0.13201320132013203
