name,rating,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,star_avg_score,release_month,release_quarter,is_sequel
The Kid,2,2000,2000-07-07,0.5675675675675674,0.0170689989229009,Jon Turteltaub,Audrey Wells,Bruce Willis,0.7190388170055453,0.1825773812700669,0.0387452559796368,0.0001320306311064,0.1353135313531353,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6429587482219061,7,3,0
Sweet Virginia,8,2017,2017-11-30,0.5810810810810811,0.0038188056909163,Jamie M. Dagg,Paul China,Jon Bernthal,0.0246897280168999,0.1003196859495765,5.063138392921675e-06,0.0003960918933192,0.099009900990099,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5810810810810811,11,4,0
Universal Soldier,8,1992,1992-07-10,0.554054054054054,0.0354025996212444,Roland Emmerich,Richard Rothstein,Jean-Claude Van Damme,0.7190388170055453,0.0645988589791487,0.0127490179462525,0.002244520728809,0.1287128712871287,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5518018018018017,7,3,0
Little Men,2,1998,1998-05-08,0.5945945945945946,0.0001962528620209,Rodney Gibbons,Mark Evan Schwartz,Kathleen Fee,0.0246897280168999,0.1003196859495765,3.650755989113738e-05,0.0001320306311064,0.1155115511551155,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.5945945945945946,5,2,0
Dora and the Lost City of Gold,2,2019,2019-08-09,0.5675675675675674,0.0112355805188825,James Bobin,Nicholas Stoller,Isabela Merced,0.7190388170055453,0.137633182302098,0.0420344186823507,0.0001320306311064,0.1287128712871287,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5675675675675674,8,3,0
The To Do List,8,2013,2013-07-26,0.527027027027027,0.0158189806934684,Maggie Carey,Maggie Carey,Aubrey Plaza,0.7190388170055453,0.0042050916159405,0.0013730064580084,0.0011882756799577,0.1353135313531353,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6891891891891891,7,3,0
Touch and Go,8,1986,1986-08-22,0.5135135135135135,0.0003262547578818,Robert Mandel,Alan Ormsby,Michael Keaton,0.7190388170055453,0.1003196859495765,0.0004403311293351,0.001584367573277,0.1254125412541254,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6148648648648648,8,3,0
A Scanner Darkly,8,2006,2006-07-28,0.7027027027027025,0.0449860727135604,Richard Linklater,Philip K. Dick,Keanu Reeves,0.7190388170055453,0.0244299811515265,0.0026901817704403,0.0007921837866385,0.1221122112211221,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6461148648648648,7,3,0
The Duchess,6,2008,2008-10-10,0.6756756756756757,0.0333192359055236,Saul Dibb,Jeffrey Hatcher,Keira Knightley,0.1066807499339846,0.1003196859495765,0.0152228070962669,0.0013203063110641,0.1551155115511551,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7117117117117117,10,4,0
Screamers,8,1995,1996-01-26,0.6081081081081081,0.0108189077757383,Christian Duguay,Philip K. Dick,Peter Weller,0.0246897280168999,0.0561718216726545,0.0020059335275662,0.0003960918933192,0.1485148514851485,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.6042471042471041,1,1,0
The Parent Trap,2,1998,1998-07-29,0.635135135135135,0.0520695093470113,Nancy Meyers,Erich Kästner,Lindsay Lohan,0.7190388170055453,0.1003196859495765,0.0323499807986728,0.0002640612622128,0.2145214521452145,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.635135135135135,7,3,0
S1m0ne,6,2002,2002-08-23,0.5675675675675674,0.024569108299496,Andrew Niccol,Andrew Niccol,Al Pacino,0.7190388170055453,0.028081697317674,0.0068753155606447,0.02284129918141,0.1782178217821782,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.709009009009009,8,3,0
Eight Days a Week,8,1997,1999-02-26,0.5810810810810811,0.001193767409108,Michael Davis,Michael Davis,Joshua Schaefer,0.7190388170055453,0.1003196859495765,3.084032895965957e-06,0.0001320306311064,0.0957095709570957,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5810810810810811,2,1,0
Heaven Is for Real,2,2014,2014-04-16,0.527027027027027,0.0108189077757383,Randall Wallace,Randall Wallace,Greg Kinnear,0.7190388170055453,0.0336997221886701,0.035817912044375,0.0124108793240031,0.1188118811881188,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.608108108108108,4,2,0
Drive,8,2011,2011-09-16,0.7972972972972973,0.2445723166796182,Nicolas Winding Refn,Hossein Amini,Ryan Gosling,0.7190388170055453,0.0421267594951642,0.0271093452668264,0.0007921837866385,0.1221122112211221,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.6936936936936937,9,3,0
Welcome to Mooseport,6,2004,2004-02-20,0.4459459459459459,0.00498548937172,Donald Petrie,Doug Richardson,Gene Hackman,0.7190388170055453,0.084261946027635,0.0051329567392818,0.03168735146554,0.1551155115511551,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6223328591749644,2,1,0
The Other Guys,6,2010,2010-08-06,0.635135135135135,0.1037369294968885,Adam McKay,Adam McKay,Will Ferrell,0.7190388170055453,0.2808928165124987,0.0598678931662373,0.0438341695273303,0.1452145214521452,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6167076167076166,8,3,0
Instant Family,6,2018,2018-11-16,0.7297297297297297,0.0404026725389745,Sean Anders,Sean Anders,Mark Wahlberg,0.7190388170055453,0.1348241698666,0.0423412295559183,0.0002640612622128,0.1815181518151815,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.618096357226792,11,4,0
"New York, I Love You",8,2008,2009-10-16,0.5810810810810811,0.0187356898954776,Directors,Hu Hong,Shia LaBeouf,0.7190388170055453,0.0412840557645148,0.0051287695350698,0.0001320306311064,0.132013201320132,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6779279279279279,10,4,0
W.,6,2008,2008-10-17,0.5945945945945946,0.0195690353817659,Oliver Stone,Stanley Weiser,Josh Brolin,0.7190388170055453,0.0704977850936946,0.0103820601031657,0.0076577766041721,0.2178217821782178,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5945945945945946,10,4,0
Racing with the Moon,2,1984,1984-03-23,0.6486486486486487,0.0017354419751954,Richard Benjamin,Steve Kloves,Sean Penn,0.7190388170055453,0.0182501537934308,0.0021232230109592,0.0001320306311064,0.1485148514851485,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7162162162162162,3,1,0
Mishima: A Life in Four Chapters,8,1985,1985-09-20,0.8243243243243242,0.0041521438854316,Paul Schrader,Paul Schrader,Ken Ogata,0.7190388170055453,0.0140366351401837,0.0002000835267514,0.0009242144177449,0.1881188118811881,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8243243243243242,9,3,0
The 15:17 to Paris,6,2018,2018-02-09,0.4594594594594594,0.012485598748315,Clint Eastwood,Dorothy Blyskal,Alek Skarlatos,0.7190388170055453,0.084261946027635,0.020046030137501,0.0439662001584367,0.1023102310231023,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4594594594594594,2,1,0
Hellboy,8,2019,2019-04-12,0.4459459459459459,0.0341525813918119,Neil Marshall,Andrew Cosby,David Harbour,0.7190388170055453,0.1404421947375961,0.0193397346242691,0.007921837866385,0.1881188118811881,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4459459459459459,4,2,0
The Lego Movie 2: The Second Part,2,2019,2019-02-08,0.635135135135135,0.0241524355563518,Mike Mitchell,Phil Lord,Chris Pratt,0.0040929495642989,0.2780838040770007,0.0675411278685998,0.0439662001584367,0.1452145214521452,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7297297297297297,2,1,1
Observe and Report,8,2009,2009-04-10,0.527027027027027,0.0254024537857843,Jody Hill,Jody Hill,Seth Rogen,0.7190388170055453,0.0505537968016584,0.0094734511890387,0.0002640612622128,0.0759075907590759,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6576576576576576,4,2,0
Friends with Money,8,2006,2006-04-21,0.527027027027027,0.0120689260051709,Nicole Holofcener,Nicole Holofcener,Jennifer Aniston,0.7190388170055453,0.0182501537934308,0.0064079238953149,0.0003960918933192,0.0825082508250825,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5324324324324323,4,2,0
