name,rating,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,release_month,release_quarter,is_sequel
Notorious,8,2009,2009-01-16,0.6486486486486487,0.0174856716660451,George Tillman Jr.,Reggie Rock Bythewood,Jamal Woolard,0.7190388170055453,0.0561718216726545,0.0156009911520483,0.0075257459730657,0.1947194719471947,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0
Homefront,8,2013,2013-11-27,0.6216216216216215,0.0470694364292812,Gary Fleder,Sylvester Stallone,Jason Statham,0.7190388170055453,0.0617898465436506,0.0170161302548883,0.0009242144177449,0.1221122112211221,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,4,0
Cattle Annie and Little Britches,2,1980,1981-04-24,0.5675675675675674,0.000237086790849,Lamont Johnson,David Eyre,Scott Glenn,0.7190388170055453,0.0143175363837335,0.0001877277270383,0.0001320306311064,0.1122112211221122,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4,2,0
Metro,8,1997,1997-01-17,0.4864864864864864,0.0108189077757383,Thomas Carter,Randy Feldman,Eddie Murphy,0.7190388170055453,0.1544872569150863,0.0112389281401488,0.017428043306047,0.1782178217821782,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0
Honkytonk Man,2,1982,1982-12-15,0.635135135135135,0.0034021329477721,Clint Eastwood,Clancy Carlile,Clint Eastwood,0.7190388170055453,0.0056095978336896,0.001575094729068,0.000660153155532,0.1947194719471947,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,12,4,0
The Last Mimzy,2,2007,2007-03-23,0.5810810810810811,0.0087355440600175,Robert Shaye,Bruce Joel Rubin,Joely Richardson,0.7190388170055453,0.1003196859495765,0.0095912365902598,0.02284129918141,0.0891089108910891,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,1,0
Tigerland,8,2000,2001-05-24,0.6891891891891891,0.0162356534366126,Joel Schumacher,Ross Klavan,Colin Farrell,0.7190388170055453,0.028081697317674,5.21177325473386e-05,0.0001320306311064,0.1254125412541254,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5,2,0
Left Behind,6,2014,2014-10-03,0.1621621621621621,0.0158189806934684,Vic Armstrong,Paul Lalonde,Nicolas Cage,0.7190388170055453,0.0449357719306623,0.0096252968729366,0.0001320306311064,0.1551155115511551,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,4,0
K-PAX,6,2001,2001-10-26,0.7432432432432432,0.0737364919905081,Iain Softley,Gene Brewer,Kevin Spacey,0.7190388170055453,0.191004418576561,0.0228294915226594,0.0001320306311064,0.1881188118811881,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,10,4,0
Muppet Treasure Island,0,1996,1996-02-16,0.6891891891891891,0.0091522168031617,Brian Henson,Robert Louis Stevenson,Tim Curry,0.7190388170055453,0.1003196859495765,0.0120562407596538,0.0162397676260892,0.1188118811881188,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,1,0
