name,rating,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,release_month,release_quarter,is_sequel
The Shining,8,1980,1980-06-13,0.8783783783783783,0.3862410493486363,Stanley Kubrick,Stephen King,Jack Nicholson,0.10668074993398469,0.0533628092371564,0.0165066400127364,0.04396620015843676,0.2739273927392739,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6,2,0
The Blue Lagoon,8,1980,1980-07-02,0.527027027027027,0.027069144758361,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,0.7190388170055453,0.0126321289224347,0.020670078802825,0.04383416952733034,0.1353135313531353,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,3,0
Star Wars: Episode V - The Empire Strikes Back,2,1980,1980-06-20,0.9189189189189187,0.499992708226995,Irvin Kershner,Leigh Brackett,Mark Hamill,0.7190388170055453,0.0505537968016584,0.1890861478225385,0.0013203063110641669,0.2013201320132013,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,2,1
Airplane!,2,1980,1980-07-02,0.7837837837837839,0.0920700926888517,Jim Abrahams,Jim Abrahams,Robert Hays,0.7190388170055453,0.0098231164869366,0.0293101590473309,0.04224980195405334,0.0825082508250825,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7,3,0
Caddyshack,8,1980,1980-07-25,0.7297297297297297,0.0449860727135604,Harold Ramis,Brian Doyle-Murray,Chevy Chase,0.7190388170055453,0.0168456475756818,0.0139945886247364,0.007921837866385001,0.1155115511551155,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7,3,0
Friday the 13th,8,1980,1980-05-09,0.6081081081081081,0.0512361638607229,Sean S. Cunningham,Victor Miller,Betsy Palmer,0.7190388170055453,0.0015365298022174,0.0139623669609197,0.04224980195405334,0.1056105610561056,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,5,2,0
The Blues Brothers,8,1980,1980-06-20,0.8108108108108107,0.078319892165094,John Landis,Dan Aykroyd,John Belushi,0.7190388170055453,0.0758349087211409,0.0404705407575872,0.04977554792711909,0.231023102310231,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,2,0
Raging Bull,8,1980,1980-12-19,0.8513513513513512,0.1374874216915663,Martin Scorsese,Jake LaMotta,Robert De Niro,0.7190388170055453,0.0505537968016584,0.0082192121338431,0.00039609189331925006,0.2178217821782178,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,4,0
Superman II,2,1980,1981-06-19,0.6621621621621622,0.0420693635115512,Richard Lester,Jerry Siegel,Gene Hackman,0.7190388170055453,0.1516782444795883,0.0379965064583916,0.0002640612622128334,0.2112211221122112,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,2,1
The Long Riders,8,1980,1980-05-16,0.6891891891891891,0.0041521438854316,Walter Hill,Bill Bryden,David Carradine,0.7190388170055453,0.028081697317674,0.005547423927552,0.005413255875363085,0.1221122112211221,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,2,0
Any Which Way You Can,2,1980,1980-12-17,0.5675675675675674,0.007485525830585,Buddy Van Horn,Stanford Sherman,Clint Eastwood,0.7190388170055453,0.0421267594951642,0.024826459544277,0.0006601531555320834,0.1749174917491749,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,4,0
The Gods Must Be Crazy,2,1980,1984-10-26,0.7297297297297297,0.0224857445837751,Jamie Uys,Jamie Uys,N!xau,0.0009242144177449168,0.0140366351401837,0.0105475519565364,0.0001320306311064167,0.1518151815181518,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,4,0
